RunEnvId/V1	Scenario	Operation	Spatial Key	Dimensions	Vector Impl	Dataset Name	Dataset Size	Spatial Index	Time	Mem Delta	Failed
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	Boost R-tree 1_86	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	Spatial++ K-d Tree 2.1.8	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	std::unordered_set	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	std::vector	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	Boost R-tree 1_86	33	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	Spatial++ K-d Tree 2.1.8	30	-6	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	std::unordered_set	5	-4	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	std::vector	9	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	Boost R-tree 1_86	560	-14	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	Spatial++ K-d Tree 2.1.8	623	-62	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	std::unordered_set	60	-46	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	std::vector	734	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	Boost R-tree 1_86	8231	-154	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	Spatial++ K-d Tree 2.1.8	8315	-624	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	std::unordered_set	978	-468	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	std::vector	82568	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	Boost R-tree 1_86	124360	-1572	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	Spatial++ K-d Tree 2.1.8	194842	-6249	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	std::unordered_set	43646	-4687	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	std::vector	12002017	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	Boost R-tree 1_86	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	Spatial++ K-d Tree 2.1.8	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	std::unordered_set	1	0	
