RunEnvId/V1	Scenario	Operation	Spatial Key	Dimensions	Vector Impl	Dataset Name	Dataset Size	Spatial Index	Time	Mem Delta	Failed
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	Boost R-tree 1_86	1	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	std::vector	1	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	Boost R-tree 1_86	30	-1	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	std::vector	10	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	Boost R-tree 1_86	466	-15	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	std::vector	753	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	Boost R-tree 1_86	8489	-245	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	std::vector	76975	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	Boost R-tree 1_86	115372	-2401	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	std::vector	11103259	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	Boost R-tree 1_86	1	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	std::vector	1	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	Boost R-tree 1_86	58	-1	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	std::vector	9	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	Boost R-tree 1_86	619	-24	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	std::vector	756	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	Boost R-tree 1_86	10674	-206	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	std::vector	78275	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000000	Boost R-tree 1_86	237051	-1878	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000000	std::vector	11326684	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100	Boost R-tree 1_86	1	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100	std::vector	1	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000	Boost R-tree 1_86	51	-3	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000	std::vector	10	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	10000	Boost R-tree 1_86	753	-28	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	10000	std::vector	802	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100000	Boost R-tree 1_86	10563	-183	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100000	std::vector	81523	0	
ikdp5560_clangcl_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000000	Boost R-tree 1_86	235025	-2031	
