RunEnvId/V1	Scenario	Operation	Spatial Key	Dimensions	Vector Impl	Dataset Name	Dataset Size	Spatial Index	Time	Mem Delta	Failed
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	Boost R-tree 1_86	1	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	std::vector	1	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	Boost R-tree 1_86	22	-1	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	std::vector	8	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	Boost R-tree 1_86	381	-15	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	std::vector	732	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	Boost R-tree 1_86	7203	-245	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	std::vector	82233	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	Boost R-tree 1_86	99150	-2401	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	std::vector	12459016	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	Boost R-tree 1_86	1	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	std::vector	1	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	Boost R-tree 1_86	49	-1	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	std::vector	8	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	Boost R-tree 1_86	531	-24	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	std::vector	724	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	Boost R-tree 1_86	9106	-206	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	std::vector	86439	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000000	Boost R-tree 1_86	194140	-1878	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000000	std::vector	11332523	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100	Boost R-tree 1_86	1	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100	std::vector	1	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000	Boost R-tree 1_86	42	-3	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000	std::vector	10	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	10000	Boost R-tree 1_86	643	-28	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	10000	std::vector	755	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100000	Boost R-tree 1_86	8588	-183	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100000	std::vector	77304	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000000	Boost R-tree 1_86	217179	-2031	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000000	std::vector	12716783	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	Boost R-tree 1_86	1	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	std::vector	1	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	1000	Boost R-tree 1_86	23	-1	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	1000	std::vector	9	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	10000	Boost R-tree 1_86	559	-19	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	10000	std::vector	725	0	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100000	Boost R-tree 1_86	8517	-206	
ikdp5560_intel_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100000	std::vector	75732	0	
