RunEnvId/V1	Scenario	Operation	Spatial Key	Dimensions	Vector Impl	Dataset Name	Dataset Size	Spatial Index	Time	Mem Delta	Failed
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	Boost R-tree 1_86	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	std::vector	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	Boost R-tree 1_86	32	-1	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	std::vector	10	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	Boost R-tree 1_86	539	-15	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	std::vector	752	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	Boost R-tree 1_86	7567	-245	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	std::vector	78733	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	Boost R-tree 1_86	94712	-2401	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000000	std::vector	11395493	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	Boost R-tree 1_86	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	std::vector	1	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	Boost R-tree 1_86	87	-1	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	std::vector	10	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	Boost R-tree 1_86	926	-24	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	std::vector	749	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	Boost R-tree 1_86	15957	-206	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	std::vector	77359	0	
IKDP5560_v143_x64	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000000	Boost R-tree 1_86	299657	-1878	
