RunEnvId/V1	Scenario	Operation	Spatial Key	Dimensions	Vector Impl	Dataset Name	Dataset Size	Spatial Index	Time	Mem Delta	Failed
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	Boost R-tree 1_86	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	std::vector	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	Boost R-tree 1_86	27	-1	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	std::vector	13	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	Boost R-tree 1_86	386	-18	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	std::vector	1822	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	Boost R-tree 1_86	11546	-245	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	std::vector	266513	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	Boost R-tree 1_86	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	std::vector	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	Boost R-tree 1_86	43	-6	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	std::vector	13	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	Boost R-tree 1_86	583	-15	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	std::vector	1387	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	Boost R-tree 1_86	15276	-202	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	std::vector	230994	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100	Boost R-tree 1_86	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100	std::vector	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000	Boost R-tree 1_86	45	-3	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000	std::vector	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	10000	Boost R-tree 1_86	676	-26	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	10000	std::vector	1383	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100000	Boost R-tree 1_86	30555	-186	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100000	std::vector	555526	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	Boost R-tree 1_86	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	std::vector	1	0	
ikrocky8_clang	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	1000	Boost R-tree 1_86	26	-1	
