RunEnvId/V1	Scenario	Operation	Spatial Key	Dimensions	Vector Impl	Dataset Name	Dataset Size	Spatial Index	Time	Mem Delta	Failed
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	Boost R-tree 1_86	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100	std::vector	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	Boost R-tree 1_86	27	-1	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	1000	std::vector	13	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	Boost R-tree 1_86	609	-18	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	10000	std::vector	2317	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	Boost R-tree 1_86	14089	-245	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Maricopa_Parcel_Points.shp	100000	std::vector	364761	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	Boost R-tree 1_86	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100	std::vector	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	Boost R-tree 1_86	44	-6	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	1000	std::vector	13	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	Boost R-tree 1_86	589	-15	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	10000	std::vector	1305	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	Boost R-tree 1_86	12695	-202	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Islands	100000	std::vector	222259	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100	Boost R-tree 1_86	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100	std::vector	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000	Boost R-tree 1_86	46	-3	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	1000	std::vector	13	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	10000	Boost R-tree 1_86	689	-26	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	10000	std::vector	1402	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100000	Boost R-tree 1_86	10514	-186	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Skewed	100000	std::vector	276302	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	Boost R-tree 1_86	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100	std::vector	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	1000	Boost R-tree 1_86	26	-1	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	1000	std::vector	13	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	10000	Boost R-tree 1_86	613	-18	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	10000	std::vector	1225	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100000	Boost R-tree 1_86	15409	-200	
ikrocky8_gnu	Insert-Erase-Query	Erase	point	2	array	Synthetic_Uniform	100000	std::vector	305457	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	box	2	array	Maricopa_Parcels.shp	100	Boost R-tree 1_86	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	box	2	array	Maricopa_Parcels.shp	100	std::vector	1	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	box	2	array	Maricopa_Parcels.shp	1000	Boost R-tree 1_86	51	-3	
ikrocky8_gnu	Insert-Erase-Query	Erase	box	2	array	Maricopa_Parcels.shp	1000	std::vector	13	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	box	2	array	Maricopa_Parcels.shp	10000	Boost R-tree 1_86	855	-56	
ikrocky8_gnu	Insert-Erase-Query	Erase	box	2	array	Maricopa_Parcels.shp	10000	std::vector	1258	0	
ikrocky8_gnu	Insert-Erase-Query	Erase	box	2	array	Maricopa_Parcels.shp	100000	Boost R-tree 1_86	16576	-562	
ikrocky8_gnu	Insert-Erase-Query	Erase	box	2	array	Maricopa_Parcels.shp	100000	std::vector	175651	0	
